1,"Brown","Bill","20000"
2,"Green","Gill","30000"
3,"Pink","Polly","40000"
4,"White","Will","35000"
5,"Brown","Bill","20000"
6,"Green","Gill","30000"
7,"Pink","Polly","40000"
8,"White","Will","35000"
9,"Brown","Bill","20000"
10,"Green","Gill","30000"
11,"Pink","Polly","40000"
12,"White","Will","35000"
13,"Brown","Bill","20000"
14,"Green","Gill","30000"
15,"Pink","Polly","40000"
16,"White","Will","35000"
17,"Brown","Bill","20000"
18,"Green","Gill","30000"
19,"Pink","Polly","40000"
20,"White","Will","35000"
21,"Brown","Bill","20000"
22,"Green","Gill","30000"
23,"Pink","Polly","40000"
24,"White","Will","35000"
25,"Brown","Bill","20000"
26,"Green","Gill","30000"
27,"Pink","Polly","40000"
28,"White","Will","35000"
29,"Brown","Bill","20000"
30,"Green","Gill","30000"
31,"Brown","Bill","20000"
32,"Green","Gill","30000"
33,"Pink","Polly","40000"
34,"White","Will","35000"
35,"Brown","Bill","20000"
36,"Green","Gill","30000"
37,"Pink","Polly","40000"
38,"White","Will","35000"
39,"Brown","Bill","20000"
40,"Green","Gill","30000"
41,"Brown","Bill","20000"
42,"Green","Gill","30000"
43,"Pink","Polly","40000"
44,"White","Will","35000"
45,"Brown","Bill","20000"
46,"Green","Gill","30000"
47,"Pink","Polly","40000"
48,"White","Will","35000"
49,"Brown","Bill","20000"
50,"Green","Gill","30000"
51,"Brown","Bill","20000"
52,"Green","Gill","30000"
53,"Pink","Polly","40000"
54,"White","Will","35000"
55,"Brown","Bill","20000"
56,"Green","Gill","30000"
57,"Pink","Polly","40000"
58,"White","Will","35000"
59,"Brown","Bill","20000"
60,"Green","Gill","30000"
61,"Brown","Bill","20000"
62,"Green","Gill","30000"
63,"Pink","Polly","40000"
64,"White","Will","35000"
65,"Brown","Bill","20000"
66,"Green","Gill","30000"
67,"Pink","Polly","40000"
68,"White","Will","35000"
69,"Brown","Bill","20000"
70,"Green","Gill","30000"
71,"Brown","Bill","20000"
72,"Green","Gill","30000"
73,"Pink","Polly","40000"
74,"White","Will","35000"
75,"Brown","Bill","20000"
76,"Green","Gill","30000"
77,"Pink","Polly","40000"
78,"White","Will","35000"
79,"Brown","Bill","20000"
80,"Green","Gill","30000"
81,"Brown","Bill","20000"
82,"Green","Gill","30000"
83,"Pink","Polly","40000"
84,"White","Will","35000"
85,"Brown","Bill","20000"
86,"Green","Gill","30000"
87,"Pink","Polly","40000"
88,"White","Will","35000"
89,"Brown","Bill","20000"
90,"Green","Gill","30000"
91,"Brown","Bill","20000"
92,"Green","Gill","30000"
93,"Pink","Polly","40000"
94,"White","Will","35000"
95,"Brown","Bill","20000"
96,"Green","Gill","30000"
97,"Pink","Polly","40000"
98,"White","Will","35000"
99,"Brown","Bill","20000"
100,"Green","Gill","30000"
101,"Brown","Bill","20000"
102,"Green","Gill","30000"
103,"Pink","Polly","40000"
104,"White","Will","35000"
105,"Brown","Bill","20000"
106,"Green","Gill","30000"
107,"Pink","Polly","40000"
108,"White","Will","35000"
109,"Brown","Bill","20000"
110,"Green","Gill","30000"
111,"Brown","Bill","20000"
112,"Green","Gill","30000"
113,"Pink","Polly","40000"
114,"White","Will","35000"
115,"Brown","Bill","20000"
116,"Green","Gill","30000"
117,"Pink","Polly","40000"
118,"White","Will","35000"
119,"Brown","Bill","20000"
120,"Green","Gill","30000"
121,"Brown","Bill","20000"
122,"Green","Gill","30000"
123,"Pink","Polly","40000"
124,"White","Will","35000"
125,"Brown","Bill","20000"
126,"Green","Gill","30000"
127,"Pink","Polly","40000"
128,"White","Will","35000"
129,"Brown","Bill","20000"
130,"Green","Gill","30000"
131,"Brown","Bill","20000"
132,"Green","Gill","30000"
133,"Pink","Polly","40000"
134,"White","Will","35000"
135,"Brown","Bill","20000"
136,"Green","Gill","30000"
137,"Pink","Polly","40000"
138,"White","Will","35000"
139,"Brown","Bill","20000"
140,"Green","Gill","30000"
141,"Brown","Bill","20000"
142,"Green","Gill","30000"
143,"Pink","Polly","40000"
144,"White","Will","35000"
145,"Brown","Bill","20000"
146,"Green","Gill","30000"
147,"Pink","Polly","40000"
148,"White","Will","35000"
149,"Brown","Bill","20000"
150,"Green","Gill","30000"
151,"Brown","Bill","20000"
152,"Green","Gill","30000"
153,"Pink","Polly","40000"
154,"White","Will","35000"
155,"Brown","Bill","20000"
156,"Green","Gill","30000"
157,"Pink","Polly","40000"
158,"White","Will","35000"
159,"Brown","Bill","20000"
160,"Green","Gill","30000"
161,"Brown","Bill","20000"
162,"Green","Gill","30000"
163,"Pink","Polly","40000"
164,"White","Will","35000"
165,"Brown","Bill","20000"
166,"Green","Gill","30000"
167,"Pink","Polly","40000"
168,"White","Will","35000"
169,"Brown","Bill","20000"
170,"Green","Gill","30000"
171,"Brown","Bill","20000"
172,"Green","Gill","30000"
173,"Pink","Polly","40000"
174,"White","Will","35000"
175,"Brown","Bill","20000"
176,"Green","Gill","30000"
177,"Pink","Polly","40000"
178,"White","Will","35000"
179,"Brown","Bill","20000"
180,"Green","Gill","30000"
181,"Green","Gill","30000"
182,"White","Will","35000"
